names_items,prixes_items,disponbilites_items,refrences_items
Pc de Bureau Gamer MYTEK i7 12è Gén 16Go MSI RTX 3050 VENTUS 2X XS 8G OC,"2 999,000 DT",Sur commande 48h,[RAPTOR-12700-3050]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"2 999,000 DT",Sur commande 48h,[SPIDER-5600X-4060TI]
Pc de Bureau Gamer MYTEK AMD Ryzen 5 16Go MSI RTX 3060 VENTUS 2X 12G OC,"2 999,000 DT",Sur commande 48h,[DRAGON-B-5600X-3060]
Pc de Bureau Gamer MYTEK i7 12è Gén 16Go MSI RTX 3060 VENTUS 2X OC 12Go,"2 999,000 DT",En stock,[NINJA-12700-3060]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go MSI RTX 4060Ti VENTUS 2X BLACK 16G OC,"3 259,000 DT",Sur commande 48h,[SAMURAI-12400-16G4060Ti]
Pc de Bureau Gamer MYTEK i5 12ème Gén 16Go MSI RTX3060 VENTUS 2X OC 12Go,"3 029,000 DT",En stock,[BU-NINJA-12400-3060-S1]
Pc de Bureau Gamer MYTEK i5 12ème Gén 16G MSI RTX 4060 VENTUS 2X BLACK 8Go OC,"3 039,000 DT",En stock,[BU-NINJA-12400-4060-S1]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"3 039,000 DT",Sur commande 48h,[RAPTOR-12400-4060TI]
Pc de Bureau Gamer MYTEK AMD Ryzen 7 16Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"3 055,000 DT",Sur commande 48h,[SPIDER-5800X-4060]
Pc de Bureau Gamer MYTEK i5 13è Gén 16G MSI RTX 4060 VENTUS 2X BLACK 8G OC,"3 059,000 DT",En stock,[BU-JOKER-13400-4060-P4]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go MSI RTX 4060TI VENTUS 2X BLACK 8Go OC,"3 229,000 DT",En stock,[GUNSHIP-12400-4060Ti]
Pc de Bureau Gamer MYTEK AMD Ryzen 7 16Go MSI RTX 3060 VENTUS 2X 12G OC,"3 059,000 DT",Sur commande 48h,[DRAGON-B-5700G-3060]
Pc de Bureau Gamer MYTEK i5 13è Gén 16G MSI RTX 4060 Ti VENTUS 2X BLACK 8G OC,"3 059,000 DT",En stock,[NINJA-13400-4060Ti]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go MSI RTX 4060 Ti VENTUS 2X BLACK 8G OC,"3 299,000 DT",Sur commande 48h,[SAMURAI-13400-4060Ti]
Pc de Bureau Gamer MYTEK AMD Ryzen 5 16Go PALIT RTX 3070Ti Gaming Pro 8G,"3 069,000 DT",Sur commande 48h,[HELIO-3]
PC de Bureau Gamer ASUS ROG HUNTER I5 10è Gen 16Go GTX1660TI,"3 099,000 DT",En stock,[BASBACV2]
Pc de Bureau Gamer MYTEK i5 14è Gén 16G MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"3 099,000 DT",En stock,[NINJA-14400-4060Ti]
Pc de Bureau Gamer MYTEK i5 12è Gén 32Go MSI RTX 4060 Ti VENTUS 2X BLACK 16G OC,"3 119,000 DT",En stock,[NINJA-12400-16G4060Ti-32G]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16G MSI RTX 3060 VENTUS 2X OC 12Go,"4 039,000 DT",Sur commande 48h,[GUNSHIP-7600X-3060]
Pc de Bureau Gamer MYTEK AMD Ryzen 7 16Go MSI RTX 3060 VENTUS 2X 12Go,"3 139,000 DT",Sur commande 48h,[SUKHOI-5800X3D-3060]
Pc de Bureau Gamer MYTEK i7 12è Gén 16Go MSI RTX 3060 VENTUS 2X 12G,"3 149,000 DT",Sur commande 48h,[RAPTOR-12700-3060]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go MSI RADEON RX 6700 XT MECH 2X 12G,"3 149,000 DT",Sur commande 48h,[ARMOR-2]
Pc de Bureau Gamer MYTEK i7 12è Gén 32Go MSI RTX 3060 VENTUS 2X OC 12Go,"3 169,000 DT",En stock,[NINJA-12700-3060-32G]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16G MSI RTX 4060 VENTUS 2X BLACK 8G OC,"3 179,000 DT",En stock,[GUNSHIP-7600X-4060]
Pc de Bureau Gamer MYTEK i7 12è Gén 16Go MSI RTX 3060 VENTUS 2X 12GB,"3 179,000 DT",Sur commande 48h,[GUNSHIP-12700-3060]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go MSI RTX 3060 VENTUS 2X 12G OC,"3 189,000 DT",Sur commande 48h,[GUNSHIP-8600G-3060]
Pc de Bureau Gamer MYTEK i7 13è Gén 16Go MSI RTX 3050 VENTUS 2X XS 8G OC,"3 199,000 DT",Sur commande 48h,[RAPTOR-13700-3050]
Pc de Bureau Gamer MYTEK i5 13è Gén 32Go MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"3 349,000 DT",En stock,[NINJA-13400-4060Ti-32G]
Pc de Bureau Gamer MYTEK i7 12è Gén 32Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"3 199,000 DT",Sur commande 48h,[NINJA-12700-4060-32G]
Pc de Bureau Gamer MYTEK AMD Ryzen 5 32Go MSI RTX 3060 VENTUS 2X 12Go,"3 199,000 DT",Sur commande 48h,[MIG-7600-3060]
Pc de Bureau Gamer MYTEK i7 12è Gén 16Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"3 199,000 DT",Sur commande 48h,[GUNSHIP-12700-4060]
Pc de Bureau Gamer MYTEK AMD RYZEN 7 16Go MSI RTX 4060 Ti VENTUS 2X BLACK 8G OC,"3 249,000 DT",Sur commande 48h,[GUNSHIP-5700X-4060Ti]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go MSI RTX 4060TI VENTUS 2X BLACK 8G OC,"3 249,000 DT",Sur commande 48h,[GUNSHIP-13400-4060Ti]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"3 259,000 DT",Sur commande 48h,[RAPTOR-13400-4060TI]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"3 269,000 DT",Sur commande 48h,[GUNSHIP-8600G-4060]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go MSI RTX 4060Ti VENTUS 2X BLACK 16G OC,"3 269,000 DT",Sur commande 48h,[SAMURAI-13400-16G4060Ti]
Pc de Bureau Gamer MYTEK i5 13è Gén 16G MSI RTX 4060 Ti VENTUS 2X BLACK 16G OC,"3 279,000 DT",En stock,[NINJA-13400-16G4060Ti]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go PALIT RTX 3070Ti Gaming Pro 8G,"3 279,000 DT",Sur commande 48h,[HISOKA-12400-3070Ti]
Pc de Bureau Gamer MYTEK i5 14è Gén 32Go MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"3 459,000 DT",En stock,[NINJA-14400-4060Ti-32G]
Pc de Bureau Gamer MYTEK i5 12ème Gén 16Go MSI RTX 4060TI VENTUS 2X BLACK 8G OC,"3 289,000 DT",Sur commande 48h,[GUNSHIP-12600-4060Ti]
Pc de Bureau Gamer MYTEK AMD RYZEN 7 16G MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"3 289,000 DT",Sur commande 48h,[GUNSHIP-5800X-4060Ti]
Pc de Bureau Gamer MYTEK AMD Ryzen 7 16Go MSI RTX 4060 VENTUS 2X WHITE 8G OC,"3 299,000 DT",Sur commande 48h,[SUKHOI-5800X3D-4060]
Pc de Bureau Gamer MYTEK AMD Ryzen 7 16Go PALIT RTX 3070Ti Gaming Pro 8G,"3 299,000 DT",Sur commande 48h,[HELIO-4]
Pc de Bureau Gamer MYTEK i7 12è Gén 16Go MSI RTX 4060 VENTUS 2X WHITE 8G OC,"3 299,000 DT",Sur commande 48h,[RAPTOR-12700-4060]
Pc de Bureau Gamer MYTEK i5 13è Gén 16G MSI RTX4060 VENTUS 2X BLACK 8Go OC,"3 315,000 DT",En stock,[BU-NINJA-13400-4060-S1]
Pc de Bureau Gamer MYTEK i5 14è Gén 16Go MSI RTX 4060TI VENTUS 2X BLACK 8G OC,"3 319,000 DT",Sur commande 48h,[GUNSHIP-14400-4060Ti]
Pc de Bureau Gamer MYTEK i7 13è Gén 16Go MSI RTX 3060 VENTUS 2X 12G,"3 329,000 DT",Sur commande 48h,[RAPTOR-13700-3060]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go PALIT RTX 3070Ti GameRock 8G,"3 339,000 DT",Sur commande 48h,[KANO-1]
Pc de Bureau Gamer MYTEK i7 10è Gén 16Go MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"3 359,000 DT",Sur commande 48h,[VIPER-10700F-4060TI]
Pc de Bureau Gamer MYTEK i5 14è Gén 16G MSI RTX 4060 VENTUS 2X BLACK 8Go OC,"3 389,000 DT",En stock,[BU-NINJA-14400-4060-S1]
Pc de Bureau Gamer MYTEK i5 14è Gén 16G MSI RTX 4060 Ti VENTUS 2X BLACK 16G OC,"3 399,000 DT",Sur commande 48h,[NINJA-14400-16G4060Ti]
Pc de Bureau Gamer MYTEK i5 13è Gén 32G MSI RTX 4060 Ti VENTUS 2X BLACK 16G OC,"3 399,000 DT",Sur commande 48h,[NINJA-13400-16G4060Ti-32G]
Pc de Bureau Gamer MYTEK i7 12è Gén 16G MSI RTX3050 VENTUS 2X XS 8G OC,"3 429,000 DT",En stock,[BU-NINJA-12700-3050-S1]
Pc de Bureau Gamer MYTEK i5 12è Gén 16G MSI RTX 4060 Ti VENTUS 2X BLACK 8G OC,"3 439,000 DT",En stock,[BU-NINJA-12400-4060Ti-S1]
Pc de Bureau Gamer MYTEK i7 12è Gén 16G MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"3 439,000 DT",En stock,[NINJA-12700-4060Ti]
Pc de Bureau Gamer MYTEK i7 12è Gén 16Go MSI RTX 4060TI GAMING X SLIM WHITE 16G,"3 449,000 DT",En stock,[SNOWOLF-12700-16G4060Ti]
Pc de Bureau Gamer MYTEK i7 13è Gén 16Go MSI RTX 3060 VENTUS 2X 12GB,"3 479,000 DT",Sur commande 48h,[GUNSHIP-13700-3060]
Pc de Bureau Gamer MYTEK i7 13è Gén 16Go MSI RTX 4060 VENTUS 2X WHITE 8G OC,"3 479,000 DT",Sur commande 48h,[RAPTOR-13700-4060]
Pc de Bureau Gamer MYTEK i7 12è Gén 32G MSI RTX 4060 VENTUS 2X BLACK 8G OC,"3 499,000 DT",Sur commande 48h,[CRYSTAL-12700-4060]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go MSI RTX 4060Ti VENTUS 2X BLACK 16G OC,"3 799,000 DT",Sur commande 48h,[VIPER-13400F-Q4060TI]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go MSI RTX 4060Ti VENTUS 2X BLACK 16G OC,"3 519,000 DT",Sur commande 48h,[LEON-12600K-16G4060TI]
Pc de Bureau Gamer MYTEK i7 13è Gén 16Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"3 529,000 DT",Sur commande 48h,[GUNSHIP-13700-4060]
Pc de Bureau Gamer MYTEK i5 14è Gén 32G MSI RTX 4060 Ti VENTUS 2X BLACK 16G OC,"3 759,000 DT",En stock,[NINJA-14400-16G4060Ti-32G]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go MSI RADEON RX 6700 XT MECH 2X 12G,"3 539,000 DT",Sur commande 48h,[ARMOR-3]
Pc de Bureau Gamer MYTEK AMD RYZEN 7 16Go MSI RTX 3060 VENTUS 2X 12Go OC,"3 549,000 DT",Sur commande 48h,[GUNSHIP-7700X-3060]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go MSI RTX 4070 VENTUS 2X 12G OC,"3 549,000 DT",Sur commande 48h,[SPIDER-5600X-4070]
Pc de Bureau Gamer MYTEK i7 12è Gén 32Go MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"3 569,000 DT",En stock,[NINJA-12700-4060Ti-32G]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go MSI RTX 4060 Ti VENTUS 2X BLACK 8G OC,"3 569,000 DT",En arrivage,[GUNSHIP-7600X-4060Ti]
Pc de Bureau Gamer MYTEK AMD Ryzen 5 32Go MSI RTX 4060 VENTUS 2X WHITE 8G OC,"3 599,000 DT",Sur commande 48h,[MIG-7600-4060]
Pc de Bureau Gamer MYTEK AMD RYZEN 7 16Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"3 599,000 DT",Sur commande 48h,[GUNSHIP-7700X-4060]
Pc de Bureau Gamer MYTEK i5 12è Gén 16G MSI RTX 4060 Ti VENTUS 2X BLACK 16G OC,"3 599,000 DT",En stock,[BU-NINJA-12400-16G4060Ti-S1]
Pc de Bureau Gamer MYTEK i7 12è Gén 16G MSI RTX 4060 Ti VENTUS 2X BLACK 16G OC,"3 629,000 DT",En stock,[NINJA-12700-16G4060Ti]
Pc de Bureau Gamer MYTEK i7 12è Gén 16Go MSI RTX 4060TI VENTUS 2X BLACK 8G OC,"3 639,000 DT",Sur commande 48h,[GUNSHIP-12700-4060Ti]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16G MSI RTX 4060Ti VENTUS 2X BLACK 8Go OC,"3 639,000 DT",Sur commande 48h,[GUNSHIP-8600G-4060Ti]
Pc de Bureau Gamer MYTEK i7 12è Gén 16Go MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"3 639,000 DT",Sur commande 48h,[RAPTOR-12700-4060TI]
Pc de Bureau Gamer MYTEK AMD Ryzen 7 16Go MSI RTX 4060Ti VENTUS 2X BLACK 16G OC,"3 639,000 DT",Sur commande 48h,[SPIDER-5800X-Q4060TI]
Pc de Bureau Gamer MYTEK i7 12è Gén 16Go MSI RTX 3060 VENTUS 2X 12G OC,"3 649,000 DT",Sur commande 48h,[DRAGON-B-12700K-3060]
Pc de Bureau Gamer MYTEK i7 12è Gén 16G MSI RTX 4060 VENTUS 2X BLACK 8Go OC,"3 659,000 DT",En stock,[BU-NINJA-12700-4060-S1]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 32Go MSI RTX 4060Ti VENTUS 2X BLACK 16G OC,"3 669,000 DT",Sur commande 48h,[NEMESIS-7600-16G4060TI]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go MSI RTX 4070 SUPER 12G VENTUS 2X OC,"3 769,000 DT",Sur commande 48h,[NINJA-12400-4070S]
Pc de Bureau Gamer MYTEK i7 12è Gén 32G MSI RTX 4060 Ti VENTUS 2X BLACK 16G OC,"3 719,000 DT",En stock,[NINJA-12700-16G4060Ti-32G]
Pc de Bureau Gamer MYTEK i7 13è Gén 16Go MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"3 799,000 DT",Sur commande 48h,[RAPTOR-13700-4060TI]
Pc de Bureau Gamer MYTEK AMD Ryzen 7 32Go MSI RTX 3060 VENTUS 2X 12Go,"3 849,000 DT",Sur commande 48h,[MIG-7700X-3060]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go GIGABYTE RTX 4070 WINDFORCE 12G OC,"3 849,000 DT",Sur commande 48h,[IRON-1]
Pc de Bureau Gamer MYTEK i7 13è Gén 16Go MSI RTX 4060 Ti VENTUS 2X BLACK 8G OC,"3 929,000 DT",Sur commande 48h,[GUNSHIP-13700-4060Ti]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go PALIT RTX 3070Ti GameRock 8G,"3 949,000 DT",Sur commande 48h,[KANO-2]
Pc de Bureau Gamer MYTEK i7 12è Gén 16Go PALIT RTX 3070Ti GameRock 8G,"3 959,000 DT",Sur commande 48h,[KANO-3]
Pc de Bureau Gamer MYTEK i5 13è Gén 16G MSI RTX 4070 SUPER 12G VENTUS 2X OC,"3 979,000 DT",En stock,[NINJA-13400-4070S]
Pc de Bureau Gamer MYTEK AMD Ryzen 7 32Go MSI RTX 4060 VENTUS 2X WHITE 8G OC,"3 979,000 DT",Sur commande 48h,[MIG-7700X-4060]
Pc de Bureau Gamer MYTEK AMD RYZEN 7 16Go MSI RTX 4060Ti VENTUS 2X BLACK 8Go OC,"3 999,000 DT",Sur commande 48h,[GUNSHIP-7700X-4060Ti]
Pc de Bureau Gamer MYTEK i7 14è Gén 16Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"4 019,000 DT",Sur commande 48h,[GUNSHIP-14700-4060]
Pc de Bureau Gamer MYTEK i7 14è Gén 16Go MSI RTX 3060 VENTUS 2X 12G OC,"4 019,000 DT",Sur commande 48h,[GUNSHIP-14700-3060]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go GIGABYTE RTX 4070 WINDFORCE 12G OC,"4 045,000 DT",Sur commande 48h,[IRON-2]
Pc de Bureau Gamer MYTEK i7 11è Gén 16Go MSI RTX 4070 VENTUS 2X 12G OC,"4 049,000 DT",Sur commande 48h,[VIPER-11700F-4070]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"4 199,000 DT",Sur commande 48h,[VIPER-13600-4060TI]
Pc de Bureau Gamer MYTEK AMD Ryzen 7 32Go MSI RTX 3060 VENTUS 2X 12G OC,"4 199,000 DT",Sur commande 48h,[DRAGON-B-7700X-3060]
Pc de Bureau Gamer MYTEK i7 13è Gén 16Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"4 219,000 DT",Sur commande 48h,[VIPER-13700-4060]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go MSI RTX 4070 SUPER 12G VENTUS 2X OC,"4 249,000 DT",Sur commande 48h,[RAPTOR-13400-4070S]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go MSI RTX 4070 SUPER 12G VENTUS 2X OC,"4 259,000 DT",Sur commande 48h,[LEON-12600K-4070S]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go GIGABYTE RTX 4070 WINDFORCE 12G OC,"4 369,000 DT",Sur commande 48h,[IRON-3]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go MSI RTX 4070 VENTUS 3X E 12G OC,"4 269,000 DT",Sur commande 48h,[RAPTOR-13400-4070]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go MSI RTX 4070 SUPER 12Go VENTUS 2X OC,"4 279,000 DT",Sur commande 48h,[DRAGON-13400-4070S]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go ASUS Dual RTX 4070 12G OC,"4 299,000 DT",Sur commande 48h,[THOR-G-13400F-4070]
Pc de Bureau Gamer MYTEK i7 13è Gén 32Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"4 479,000 DT",Sur commande 48h,[VIPER-13700-4060-32G]
Pc de Bureau Gamer MYTEK i7 12è Gén 32Go PALIT RTX 3070 Ti GameRock 8Go,"4 299,000 DT",Sur commande 48h,[SUBZERO-12700-3070Ti]
Pc de Bureau Gamer MYTEK i7 14è Gén 16Go MSI RTX 4060 Ti VENTUS 2X BLACK 8G OC,"4 379,000 DT",Sur commande 48h,[GUNSHIP-14700-4060Ti]
Pc de Bureau Gamer MYTEK i7 12è Gén 16Go PALIT RTX 3070Ti GameRock 8Go,"4 549,000 DT",Sur commande 48h,[KANO-4]
Pc de Bureau Gamer MYTEK i7 12è Gén 16Go MSI RTX 4070 VENTUS 3X E 12G OC,"4 699,000 DT",Sur commande 48h,[RAPTOR-12700-4070]
Pc de Bureau Gamer MYTEK AMD Ryzen 5 32Go MSI RTX 4070 VENTUS 3X E 12G OC,"4 719,000 DT",Sur commande 48h,[MIG-7600-4070]
Pc de Bureau Gamer MYTEK AMD Ryzen 5 32Go MSI RTX 4070 SUPER 12G VENTUS 2X OC,"4 999,000 DT",En stock,[MIG-7600-4070S]
Pc de Bureau Gamer MYTEK i5 13è Gén 32Go RTX 3070 GAMING OC 8G,"5 119,000 DT",Sur commande 48h,[HEXA-1]
Pc de Bureau Gamer MYTEK i7 12è Gén 32Go MSI RTX 4070 VENTUS 2X E 12G OC,"5 299,000 DT",Sur commande 48h,[COMMANDO-12700-4070]
Pc de Bureau Gamer MYTEK AMD RYZEN 7 16Go PNY GeForce RTX 4070 12G XLR8,"5 689,000 DT",Sur commande 48h,[CANON-7700X-4070]
Pc de Bureau Gamer MYTEK AMD Ryzen 7 32Go MSI RTX 4070 VENTUS 3X E 12G OC,"5 299,000 DT",Sur commande 48h,[MIG-7700X-4070]
Pc de Bureau Gamer MYTEK i5 14è Gén 32Go MSI RTX 4070 SUPER 12G VENTUS 2X OC,"5 329,000 DT",En stock,[COMMANDO-14600-4070S]
Pc de Bureau Gamer MYTEK i7 13è Gén 32Go RTX 3070 GAMING OC 8G,"5 399,000 DT",Sur commande 48h,[RAGE-2-32G]
Pc de Bureau Gamer MYTEK i7 12è Gén 32Go MSI RTX 4070 GAMING X SLIM WHITE 12Go,"5 399,000 DT",En stock,[SUBZERO-12700-4070]
Pc de Bureau Gamer MYTEK i7 12è Gén 32Go MSI RTX 4070 SUPER 12G VENTUS 2X OC,"5 449,000 DT",En stock,[COMMANDO-12700-4070S]
Pc de Bureau Gamer MYTEK i7 13è Gén 16Go MSI RTX 4070 SUPER 12G VENTUS 2X OC,"5 699,000 DT",Sur commande 48h,[DRAGON-13700-4070S]
Pc de Bureau Gamer MYTEK AMD RYZEN 7 32Go PNY GeForce RTX 4070 12G XLR8,"5 489,000 DT",Sur commande 48h,[CANON-7700X-4070-32G]
Pc de Bureau Gamer MYTEK AMD RYZEN 7 16Go MSI RTX 4070 Ti GAMING X TRIO 12G,"5 499,000 DT",Sur commande 48h,[CANON-7700X-4070Ti]
Pc de Bureau Gamer MYTEK i7 14è Gén 32Go MSI RTX 4070 SUPER 12G VENTUS 2X OC,"5 789,000 DT",Sur commande 48h,[COMMANDO-14700-4070S]
Pc de Bureau Gamer MYTEK i7 12è Gén 32Go MSI RTX 4070 TI GAMING X SLIM WHITE 12Go,"5 499,000 DT",En stock,[SUBZERO-12700-4070TI]
Pc de Bureau Gamer MYTEK AMD RYZEN 7 32Go MSI RTX 4070 Ti GAMING X TRIO 12G,"5 759,000 DT",Sur commande 48h,[CANON-7700X-4070Ti-32G]
Pc de Bureau Gamer MYTEK i9 12è Gén 32Go MSI RTX 4070Ti GAMING X SLIM WHITE 12G,"5 839,000 DT",Sur commande 48h,[SUBZERO-12900-4070TI]
Pc de Bureau Gamer MYTEK i7 13è Gén 32Go MSI RTX 4070Ti GAMING X SLIM WHITE 12G  Notation:   100% of 100 1  Commentaire Ajoutez votre commentaire,"5 999,000 DT",Sur commande 48h,[SUBZERO-13700-4070TI]
Pc de Bureau Gamer MYTEK i7 13è Gén 64Go MSI RTX 3090 VENTUS 3X 24G OC,"6 399,000 DT",Sur commande 48h,[HEXA-9-64G]
Pc de Bureau Gamer MYTEK AMD Ryzen 7 32Go MSI RTX 4080 16GB GAMING TRIO,"5 999,000 DT",Sur commande 48h,[SPECTRUM-1]
Pc de Bureau Gamer MYTEK i5 13è 32Go MSI RTX 4080 16GB GAMING TRIO,"6 759,000 DT",Sur commande 48h,[SPECTRUM-2]
Pc de Bureau Gamer MYTEK i7 13è Gén 32Go MSI RTX 4080 16GB GAMING TRIO,"6 999,000 DT",Sur commande 48h,[TITANIUM-1]
Pc de Bureau Gamer MYTEK i9 13è Gén 32Go MSI RTX 4080 16GB GAMING TRIO,"6 799,000 DT",Sur commande 48h,[TITANIUM-2]
PC de Bureau Gamer MYTEK i7 13è Gén 32Go ASUS ROG Strix RTX 4070Ti 12Go,"9 999,000 DT",Sur commande 48h,[ZEUS-13700KF-4070TI]
Pc de Bureau Gamer MYTEK i9 13è Gén 32Go MSI RTX 4080 16GB GAMING TRIO,"11 699,000 DT",Sur commande 48h,[SUPREME-13900-4080]
Pc de Bureau Gamer MYTEK AMD Ryzen 9 32Go MSI RTX 4080 16GB GAMING TRIO,"11 699,000 DT",Sur commande 48h,[SUPREME-7900X3D-4080]
PC de Bureau Gamer MYTEK i7 13è Gén 32Go ASUS ROG Strix RTX 4080 16Go,"12 199,000 DT",Sur commande 48h,[ZEUS-13700KF-4080]
PC de Bureau Gamer DELL ALIENWARE AURORA R13 i7 12è Gén 32Go RTX 3080,"12 389,000 DT",En stock,[R13-I7-3080]
Pc de Bureau Gamer MYTEK AMD Ryzen 9 32Go MSI RTX 4090 VENTUS 3X 24G OC,"14 029,000 DT",Sur commande 48h,[SUPREME-7900X3D-4090]
Pc de Bureau Gamer MYTEK i9 13è Gén 64Go MSI RTX 4090 VENTUS 3X 24G OC,"12 899,000 DT",Sur commande 48h,[SUPREME-13900-4090]
PC de Bureau Gamer MYTEK i9 13è Gén 32Go ASUS ROG Strix RTX 4080 16Go,"13 299,000 DT",Sur commande 48h,[ZEUS-13900-4080]
Pc de Bureau Gamer MYTEK i9 14è Gén 64Go MSI RTX 4090 VENTUS 3X 24G OC,"13 399,000 DT",Sur commande 48h,[SUPREME-14900-4090]
